text,intent
tengo 2 problemas el primero qe mi internet sigue lento vino 1 tecnico y no pudo arreglar el problema el segundo tecnico lo arreglo pero a la semana hubo corte de luz y cuando se reestablecion volvio,KGB_REVISARREPARACIONEQUIPO
En Movistar,KGB_ACTMOVPLAY
BLOQUEO DE NUMERO POR ROBO,KGB_BLOQUEARCELIUPERDIROBO
Quiero mi antivirus Por contrato de internet,KGB_INSTAMCAFEE
si puedo contratar un celular costo cero,VENTAS_C2C
Dar de baja servicio,HANDOVER_BAJA
Sabes me dice que estoy en el club Movistar,KGB_PARTCLUBMOV
quiero cambiar mi plan,KGB_SOLCAMBIPLAN
como puedo ver mi trafico de llamados,KGB_DETALLE_PLANAPPMOVI
Necesito dar de baha el cable ys q tengo un duo tv e interner,KGB_CANALTV
Hola Me gustaria saber sobre roaming,KGB_USARCELUFUERACHILE
quiero saver cuanto es mi deuda,DEUDA_FIJO_MOVIL
Necesito la activacion de mis servicios moviles,REINICIO_PLAN
datos roaming,KGB_USARCELUFUERACHILE
Reponer servicio suspendido,KGB_COBROREPOSERVICIO
datos roaming,KGB_USARCELUFUERACHILE
necesito mi consumo de celular por favor,CONSUMO_DATOS_MOVIL
datos roaming,KGB_USARCELUFUERACHILE
tengo un reclamo,HANDOVER_RECLAMOS
necesito pagar internet de la empresa 76 301 887 3,KGB_QUIEROPAGAR
roaming,KGB_USARCELUFUERACHILE
roaming,KGB_USARCELUFUERACHILE
roaming,KGB_USARCELUFUERACHILE
roaming,KGB_USARCELUFUERACHILE
tengo un saldo pendiente en internet hogar en el numero 222374690 y quiero saber el detalle,CONSUMO_DATOS_FIJO
Perdi mi telefono,KGB_BLOQUEARCELIUPERDIROBO
quiero eliminar los canales premiun,KGB_DESCONTRATARCANALES
perdi mi telefono celular 996238600 como consigo o donde para buscar otro chip,KGB_COMPRARCHIPMOVI
Recargue dos veces y dice que tengo mi saldo retenido,CONSULTA_SOS
Portabilidad,KGB_REVPORTAPREPAGO
Hola buenas que plan me ofrece para jugar juegos online,REINICIO_PLAN
Hola buenas que plan me ofrece para jugar juegos online,REINICIO_PLAN
Solo nesecita saber si puedo portarme de wom a movistar,KGB_MOVIL
Hola quiero pedir una prorroga de mi ultima boleta por favor,KGB_PRORROGA
Hola quiero conocer mi estado de deuda,DEUDA_FIJO_MOVIL
No me a llegado la boleta quiero saber cuanto debo pagar por mi plan duro hogar,DEUDA_FIJO_MOVIL
Quiero mi facturacion y tu me pides rut y contraseña cual es la contraseña,KGB_CAMBIARCLAVESVAPPMOVI
deuda pendiente,DEUDA_FIJO_MOVIL
quiero roaming gratis,KGB_USARCELUFUERACHILE
servicio tecnico,HANDOVER_SOLICITUDES
Hola bnos dias deseo saber mi deuda actual y el porque no me llego la boleta electronica a mi correo para poder saber la fecha denpago gracias,DEUDA_FIJO_MOVIL
No tengo la clave virtual es x ese motivo que no pude ingresarla,KGB_CAMBIARPASSWIFIRED
quiero saber como cambio de canales,KGB_CAMBIARCANAL
Me puede indicar como activar un chip,KGB_ACTIVARPREPAGO
quiero cambiar los canales,KGB_CAMBIARCANAL
quiero cambiar los canales,KGB_CAMBIARCANAL
Tengo dudas con la facturacion de mi boleta de servicios,COPIA_BOLETA_FIJO_MOVIL
Necesito saber,CONSUMO_DATOS_FIJO
Necesito saber si tengo opocom de poder pagar una deuda en movistar,KGB_LUGARPAGOMOVI
Tengo deuda,DEUDA_FIJO_MOVIL
Tengo deuda,DEUDA_FIJO_MOVIL
Si porfavor quisiera la ultima boleta pagada,COPIA_BOLETA_FIJO_MOVIL
Puedo acceder a un plan,VENTAS_C2C
Contrate solo internet y me sale un cobro en la boleta de movistar Play,COPIA_BOLETA_FIJO_MOVIL
Quiero saber si puedo obtener un aparato,VENTAS_C2C
lo que pasa que ayer hice los tramites para portarme a movistar,KGB_MOVIL
necesito saber si puedo obtener servicios hogar,VENTAS_C2C
quiero saber de roaming,KGB_USARCELUFUERACHILE
Buenas noches quisiera consultar por un nunero hogar,DEUDA_FIJO_MOVIL
Como puedo activar un chip movistar desde mi telefono,KGB_ACTIVARPREPAGO
Hola no tengo television ayer se de desistalo hoy pague en la mañana y aun no tengo señal,REINICIO_PLAN
Mi router no tiene interner,KGB_RECOUSOBAINALAM
Hola me robaron si me robaron mi celular yo tengo el seguro de 0 51 Me cubre verdad Tengo que pagar cuando de deducible por el equipo nuevo,KGB_MOVISTARTSEGURO
deuda,DEUDA_FIJO_MOVIL
quiero mi deuda,DEUDA_FIJO_MOVIL
como conecto mi deco,KGB_CONECTADECOHDTVMOVISTAR
que es movistar play,KGB_ACTMOVPLAY
boleta,COPIA_BOLETA_FIJO_MOVIL
boleta,COPIA_BOLETA_FIJO_MOVIL
roaming,KGB_USARCELUFUERACHILE
Queria preguntar si puedo optar a un plan,VENTAS_C2C
Puede ver con mi rut pueda tener plan,DETALLE_PLAN_FIJO_MOVIL
Quiro ver si mi rut puedo contratar algun plan com equipo,VENTAS_C2C
Hola buenos dias quisiera hacer una consulta como puedo pedir una prorroga,KGB_PRORROGA
Yo pedi un plan con aparato y se atraso el pedido no ah llamado ni nada,REINICIO_PLAN
hola soy francisco martinez rivadeneira y recien vinieron a mi casa a instalar internet hogar mi rut es 6 228 446 3 y el numero asignado que me dejaron es 232812067 y quiero saber el nro de cliente p,KGB_CAMBIARPASSWIFIRED
Necesito verificar el cobro de mi ultima boleta,COPIA_BOLETA_FIJO_MOVIL
boleta,COPIA_BOLETA_FIJO_MOVIL
boleta,COPIA_BOLETA_FIJO_MOVIL
Tengo plan hogar,VENTAS_C2C
cual es mi deuda,DEUDA_FIJO_MOVIL
donde puedo pagar,KGB_QUIEROPAGAR
donde hay una sucursal,KGB_LUGARPAGOMOVI
boleta,COPIA_BOLETA_FIJO_MOVIL
movistar play,KGB_ACTMOVPLAY
no me llegan las boletas de pago de mis celulares,REINICIO_PLAN
Pedi el fin del contrato de internet,HANDOVER_BAJA
Necesito sabes si puedo cambiar el numero vinculado a la cuenta de movistar plat,KGB_CAMBIONUMTELEFONO
por favor indicar deuda ya que ya esta pagado mi plan y cortaron mi servicio,DEUDA_FIJO_MOVIL
Hola buenas tardes llame al call Center para dar de baja un servicio ya que realice un traslado,HANDOVER_BAJA
Mi ultima boleta,COPIA_BOLETA_FIJO_MOVIL
Hola quisiera saber si poseo alguna deuda por favor,DEUDA_FIJO_MOVIL
Hola quisiera saber si poseo alguna deuda por favor,DEUDA_FIJO_MOVIL
necesito renovar mi equipo celular,KGB_CELULARFALLANDO
deseo contratar tv y internet,VENTAS_C2C
deseo contratar,VENTAS_C2C
como no sabes usted cuanto se demora en desbloquiar el celular por esoo le estaba preguntando,CONSUMO_DATOS_MOVIL
Buenas tardes necesito dar de baja los servicios de internet que tengo con uds,HANDOVER_BAJA
Quisiera aumentar los gigas y minutos,REINICIO_PLAN
quiero saber cual es el valor de la cuota del equipo que compre ayer asociado a la linea 949790802,KGB_CAMBIARPASSWIFIRED
DESEO SABR SI CON MI PLAN PUEDO SACAR UN EQUIPO,DETALLE_PLAN_FIJO_MOVIL
me vas a deribar al area hogar,CONSUMO_DATOS_FIJO
Me esta fallando mi equipo de internet portatil Huawei,HANDOVER_RECLAMOS
tengo problemas con internet,HANDOVER_RECLAMOS
Tengo problemas tecnicos con el servicio,HANDOVER_RECLAMOS
estado de cuenta,COPIA_BOLETA_FIJO_MOVIL
Quiero cambiar mi celular iPhone 5 SE por un iPhone 6 s haciendo la compra por internet,CONSUMO_DATOS_MOVIL
Hola buenos dias ayer me robaron el celular y necesito bloquear el numero ya este contaba con un plan,KGB_BLOQUEARCELIUPERDIROBO
Quiero contratar internet hogar,VENTAS_C2C
Buenos dias si necesito ayuda en mi plan,DETALLE_PLAN_FIJO_MOVIL
Que pague mi plan lo cual me a llegado mensajes que no lo e pagado,REINICIO_PLAN
