text,intent
Quiero terminar con el plan WiFi móvil,Ninguna
Eliminar plan WiFi movil,Ninguna
tengo uan duda el mes pasado page as de lo que pago too los meses y no se porquey tampoco se a donde tengo que averiguarlo ,Ninguna
¿cuál es el número de movistar,Ninguna
quiero ver el detalle de pago de este mes de mi servicio de internet,Ninguna
necesito que puedan revisar mi boleta de pago de este mes de mi servicio de internet El cobro me llego por 24990 y segun lo contratado deberia ser 21990 x 6 meses ,Ninguna
necesito que me contacte un ejecutivo fono 412233974 por problemas con el internet,Ninguna
necesito contratar una  ESIM para mi iphone xs,Ninguna
Hola hace dos días pagué mi boleta vencida que incluía un descuento me dijeron que a las dos horas apagará mi celular y tendría los servicios de nuevo lo hice y nada ocurrió durante el fin de semana asumí que el sistema se reinicia hoy pero tampoco es asi,Ninguna
necesito monto recien pagado por favor,Ninguna
Mal cobro en mi boleta,Ninguna
Quisiera saber el costo de mi reconeccion,Ninguna
necesito actualizar mi correo electrónico,Ninguna
Hola tenia una cita de instalacion de internet hogas para hoy entre las 2 y las 4 de la tarde y aun no llegan,Ninguna
deuda,Ninguna
Contacto con ejecutivo,Ninguna
Hola necesito dar de baja u servicio pero no encuentro un numero para llamar,Ninguna
el sabado me robaron mi iphone X,Ninguna
no tengo seguro para mi telefono,Ninguna
ver boleta este mes,Ninguna
Estado de reclamo,Ninguna
porque me cambiaron fecha de pago,Ninguna
Hola tengo problemas con la red internet el 4G,Ninguna
Tenía una deuda impaga hace un par de meses y por la deuda me bloquearon mi iPhone ,Ninguna
Hola  hoy se canceló el servicio de cable y ahora está cortado,Ninguna
q plan me combiene xq siempre cargo de 10000,Ninguna
No tengo internet,Ninguna
Hola necesito ayuda con la señal no me permite aser llamada,Ninguna
Hola sabes tengo los pagos realizados y me cortaron el servicio de cable,Ninguna
Hola tengo un problema con mi servicio ayer en la tarde pagué la deuda pero hoy amanecimos sin internet ni teléfono,Ninguna
Aún no tengo servicio y ya cancele mi cuenta,Ninguna
Hola necesito repactar la deuda,Ninguna
Buenas necesito un cambio del cable del decodificador poque esta se rompio,Ninguna
Hola mi celular esta pagado y no funciona,Ninguna
hola necesito saber como portarme de otra compañia,Ninguna
Hola consulta como le ago seguimiento a una portabilidad que ise por via telefonica,Ninguna
Hola  que celulares se pueden sacar costo cero pagando plan,Ninguna
quiero hablar con un ejecutivo,Ninguna
no tengo clave ,Ninguna
ahora estaba viendo para pagar mi cuenta,Ninguna
tengo un problema con mi boleta me estan cobrando dos meses y el mes pasado esta pagado,Ninguna
telefono no recibe llamadas,Ninguna
esta bien loco no quise molestarte,Ninguna
consultar estado de instalacion,Ninguna
instalacion wifi,Ninguna
Hace 2 dias cancele el total facturado y no me han repuesto el serviciome pden que haga una recarga y es plan,Ninguna
No tengo clave internet,Ninguna
Hola quiero saber porque me llega todo esto si yo no contrate ningún plan,Ninguna
hola buenas noche que pasa  con la internet en osorno,Ninguna
no puedo entrar a la sucursal virtual,Ninguna
Necesito saber cómo puedo solucionar la señal de mi celular que está pésimo,Ninguna
necesito un descuento,Ninguna
hola no puedo encontrar el numero de mi movil para pagar la cuenta,Ninguna
necesito el detalle del mes de julio,Ninguna
despues de 5 dias sin linea telefonica ni internet  me gustaria que dieran un respuesa concreta por que estamos sin servicio en un sector en san bernardo buin desde el jueves y que  es lo que pasa y para cuando hay  solucion,Ninguna
Dar de baja un servicio,Ninguna
quisiera solucioanr problemas de wifi en mi casa,Ninguna
Necesito crear una cuenta en MiMovistar,Ninguna
Hola buenos días me gustaría saber si tienen ofertas de plan ya que lo que estoy pagando actualmente es demasiado Si no es posible quisiera abandonar la el plan,Ninguna
pague ayer la boleta del plan y sigue cortadomi telefono,Ninguna
hola llegue ase dos semanas a argentina los primero tres dias tenia señal aora solo me sale sin servicio,Ninguna
Hola quiero saber si cumplo  los requisitos para poder acceder a un equpo que lo necesitó tipo urgente,Ninguna
el teléfono de hogar no funciona ,Ninguna
Hola Necesito dar de baja un servicio,Ninguna
Necesito saber el valor de mi cuenta de Internet,Ninguna
Hola quiero comprar una bolsa de internet para mi abuela que tiene un celular prepago a que numero tengo que llamar,Ninguna
Buenas tardes le hablo ta que klevo mucho tiempo con problemas de internet se supone que vendrian ayer lo xual no paso por favor necesito que se arregle el problema,Ninguna
hola mira en noviebre del apño pasado termine un contrato con el numero de 965551471,Ninguna
Tengo un reclamo pendiente,Ninguna
Lo que pasa que yo tenia un plan en movistar pero me porte y me están cobrando lo de agosto y yo me porte en julio no entiendo porque me Están cobrando,Ninguna
quiero saber cual es mi plan,Ninguna
la cantidad de canales del plan television,Ninguna
cuanto es el monto del telefono fijo de mi plan hogar,Ninguna
Hola di de baja unos productos,Ninguna
Me pidieron que confirmara la baja por la pagina,Ninguna
MOVIL 569 50013731,Ninguna
necesito hacer una repactación de mi deuda fija,Ninguna
No me llega el mensaje para saber mi numero,Ninguna
Si tengo el chip 3G lo cambian gratuitamente al 4G,Ninguna
Hola lo que pasa es que me están cobrando un monto de un plan que di de baja hace 6 meses en la misma sucursal,Ninguna
Soy Alex Saez y desde hoy a las 1030 de la mañana más menos No tengo señal ni funciona la conexión de los datos móviles,Ninguna
Vivo en la comuna del Quisco  Y no tengo señal y no puedo recibir llamadas ni hacerlas,Ninguna
Quisiera saber por que esta bloqueado mi telefono para aser llamadas,Ninguna
valor deco adicional,Ninguna
Buenos dias donde debo llamar para reclamar porque mi teléfono fijo está sin tono muerto ,Ninguna
no tengo acceso a internet desde mi modem,Ninguna
necesito un telefono para comunicarme,Ninguna
sabes se me cayo el wifi,Ninguna
Deseo pasar una cuenta a pre pago,Ninguna
como ingreso un nuevo número en mi sucursal virtual,Ninguna
Pague mi deuda pendiente y aún no me activan el plan,Ninguna
Hola acabo de realizar el pago de mi boleta y aun me sale que tengo deuda,Ninguna
Mi deco no funciona,Ninguna
El deco no funciona,Ninguna
Cual es el numero qe me pide para ingresar donde sale,Ninguna
por un error involuntario olvide pagar mi cuenta de teléfono celular  Nro 89006148,Ninguna
y me cortaron el servicio ,Ninguna
Sin embargo lo pague hoy a las 0700am y hasta esta hora me tienen sin servicio,Ninguna
necesito que me activen el servicio por favor ,Ninguna
Mi hijo me dio un plan  con celular del primer mes el celu se apagava solo  y no lo pude ocupar,Ninguna
Contrate un plan y solo se activp un chip,Ninguna
quiero un plan,Ninguna
consulta en que sucursal puedo hacer entrega de los equipos de cable de movistar,Ninguna
donde se entregan los equipos de cable ,Ninguna
Hola no puedo cancelar mi boleta la página no me deja,Ninguna
Buenas tardes  tengo problemas con mi internet movil con un modem alcatel el numero 995820419 con plan y esta todo cancelado y no hay señal de internet mi nombre es elvis urrutia y run 108831111,Ninguna
Hola quería preguntar como hacer la validación en mi app Movistar,Ninguna
Hola buenas tardes la ultima boleta que me enviaron de mi plan internet no es lo contratado,Ninguna
Buenas noches quiero ver la opcion de bajar mi plan,Ninguna
Quiero bajar el valor mensual de mi plan,Ninguna
En serio Necesito una respuesta de como solicitar rebajar mi plan sin necesidad d ir a una sucursal,Ninguna
HICE UN PAGO ,Ninguna
Hola mi rut es el 104447260 tengo que pagar 7000 pesos por un equipo que porte pero el sistema no me deja pagar porque indica vuelva mas tarde Estoy de viaje solo tengo o el teléfono o el iPad para pagar,Ninguna
Tengo una duda ayer compré un equipo y a la hora de activarlo me pide marcar 888 sigo las instrucciones y aparece que debo apagar el teléfono por 10 minutos luego de eso no ocurre nada  hago lo mismo varias veces y no se activa el equipo ,Ninguna
Buen día no se si me puede ayudar pero pasa que mi teléfono no suena el timbre cuando me llaman,Ninguna
Hola Como puedo saber cuantos decodificadores están activos en mi hogar,Ninguna
necesito saber por que me cambiaron de pospago a prepago,Ninguna
El dia miércoles pedí un recambio de equipo y quisiera saber cuando llega,Ninguna
Hola mi nombre es Catherine Rut 151627420 tengo un plan de empresas pero mi celular ya no sirve Existe alguna opción de obtener un equipo con ustedes a un precio menor,Ninguna
Solicite aumento de fibra optica y aún no lo realizan,Ninguna
necesito solicitar un convenio de pago,Ninguna
Necesito mi regular mi cuenta movistar,Ninguna
el lugar de despacho,Ninguna
como puedo reclamar por una boleta,Ninguna
Hola necesito un telefono de contacto tengo dudas con mi cuenta de este mes,Ninguna
Hola Quisiera saber cuanto se tarda en reponer mi servicio,Ninguna
Quiero saber cuanto tiempo se tardan en reponer mi servicio,Ninguna
Hola le cuento pagué mi deuda de internet hogar y no me a llegado señal alguna he llamado al número de servicio al cliente pero no contesta nadie y se corta la llamada nesecito una solución ya que al pasar los días sin internet estaré pagando algo que aún no e comentado a usar nose si me explico bien,Ninguna
Hola buenas tardes necesito actualizar mis datos para poder entrar a la app movistar,Ninguna
Nesesito conprar por mi selular y aora no puedo desde q contratrate este plan en gogle play,Ninguna
Contrate un plan con equipo y el equipo tendría q a ver llado ayer y aun no llega,Ninguna
compre un S8 seminuevo por web la semana pasada y quisiera saber el estado del envío,Ninguna
La red del teléfono se va constantemente,Ninguna
quiero contactar al soporte técnico,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
derivar ejecutivo,Ninguna
tengo trio en casa y quisiera saber si podria conectar del deco las salidas de audio a mi equipo de sonido,Ninguna
nesecito saber la conexion de mi deco,Ninguna
Hace una semana me porte a movistar con una segunda linea y el equipo me salio malo y me lo mandaron a servicio tecnico lo que quiero es que me cambien el equipo no me sirve ese para lo que quiero en este momento estoy sin equipo estoy pagando un servicio que no estoy usando y quiero que me lo solucionen,Ninguna
Como hacer para que me descuenten plan del saldo recargado,Ninguna
Hola pague el servicio y me lo cortaron,Ninguna
quiero dar de baja el cable ,Ninguna
no tengo la clave ,Ninguna
Pague mi boleta y aun no me han dado el servicio,Ninguna
Pague la boleta y aun no se restable el servicio,Ninguna
Hola necesitó consultar sobre un plan de celular Me han cobrado 7659 pesos por este plan y jamas lo e contratado quisiera saber como es posible,Ninguna
Estoy viendo el s10 en movistar one y necesito saber el pie de cuota cuanto hay que pagar pie inicialy etc todo,Ninguna
Mi celular no puede recibir llamadas ni tampoco puedo ocupar mis datos móviles,Ninguna
Hola necesito saber cuál es la cobertura exacta de la fibra óptica en la comuna de Conchalí ,Ninguna
Cuando dara mi servicio que está cortado,Ninguna
No tengo wifi,Ninguna
Hola soy Pamela quiero saber si puedo portar una línea de Wom a Movistar,Ninguna
Quiero que me ayuden a traspasar un plan a otro chip,Ninguna
como acumular millas Lan pass con mi linea telefónica,Ninguna
si tengo un prepago es posible acumular millas lan pass en las recargas ,Ninguna
Hola quiero saber si puedo renovar mi equipo,Ninguna
quiero planes,Ninguna
quiero planes,Ninguna
quiero planes,Ninguna
necesito arreglar el telefono de la casa que no hace nada,Ninguna
que hacer cuando la tarjeta de tele esta caducada,Ninguna
Hola Necesito cambiar el RUT asociado a un pre pago Lo contraté para mí hija y no me deja crearlo en mi aplicación para cargar saldo porque está a su RUT,Ninguna
holacomo bloqueo mi celular  temporal,Ninguna
Tengo dos líneas asociadas a mi rut el plan lo pagué el viernes y solo una línea la tengo disponible la otra me sale que está impaga lo cual es erronio,Ninguna
hola necesito comprar una bolsa y no me lo permite,Ninguna
NECESITO SABER COMO PUEDO RECUPERAR UNA SIMCARD QUE MI SEÑORA PERDIO EL CELULAR Y SE ENCUENTRA EN VALDIVIA,Ninguna
COMO PUEDE UN TERCERO RETIRAR UNA SIMCARD ,Ninguna
Hola Mi nombre es Gerardo Villarroel Tengo contratado cable y internet Pero Deseo contratar el cdf premium Como lo puedo hacer,Ninguna
Mi equipo se encuentra bloqueado por imei,Ninguna
Hola que tal tengo problemas con la señal de televisión,Ninguna
Tengo un móvil inalámbrico con el número 958699860 Tengo un saldo de más de 5000 pero no he podido seleccionar y activar una bolsa ¿Cuál es el link que me permite hacerlo,Ninguna
¿como desbloqueo mi celular,Ninguna
bloqueo,Ninguna
como puedo hacerlo,Ninguna
buenos días tengo inconveniente con mi línea no tengo señal,Ninguna
no tengo señal en mi celular,Ninguna
Quiero cancelar mi wifi móvil del número 958098904,Ninguna
No quiero más una cuenta,Ninguna
Eliminar una cuenta,Ninguna
Hola tengo un problema desde el sábado con internet Se ha caído el servicio y en el router de fibra optica parpadea una luz roja debajo del simbolo del mouse,Ninguna
hola desde ya 3 meses me esta´n realizando cobros indebidos en mi facturacion asociada al numero 452349771,Ninguna
hola lo que pasa es que el otro dia hice una portabilidad y me llego un correo de que la habian rechazado y el telefono me lo desactivaron,Ninguna
un ejecutivo,Ninguna
como hacer un reclamo,Ninguna
Necesito un rejistro de llamada del mes de julio,Ninguna
Hola buen día tengo una cuenta hogar con ustedes la cual ya vencióMe gustaría pudiesen prorrogar y no cortar  el servicio Lo pagaré el día 19 del presente mes asumiendo los intereses que corresponde Es factible poder dar curso a mi solicitud,Ninguna
Necesito reposición de servicio WiFi móvil que fue pagado a las 10am de hoy Al llamar al 103 se registra deuda que no corresponde El número es 994353833,Ninguna
hola nesecito saber sipuedo ir aretirar un movil ,Ninguna
SABES NO TENGO SERVICIO DE RED FIJA,Ninguna
Me llego un mensaje q podía retirar mi orden es un paln un chip,Ninguna
Hola necesito dar de baja mi servicio hogar,Ninguna
he pagado mi cuenta de intenet hogar,Ninguna
Hola buenas tardes quisiera saber a que numero debo llamar desmi mi celular por problema presentado en mi internet por fibra de mi domicilio,Ninguna
mira pedi un prorroga y me cortaron igual los productos ,Ninguna
con un ejecutivo,Ninguna
hola necesito cerrar una cuenta de movil dijo que se fue a estudiar fuera de chilee mi h,Ninguna
con un ejecutivo,Ninguna
me cortaron los productos y quiero hablar con un ejecutivo,Ninguna
no tengo clave no me envies eso,Ninguna
con un ejecutivo,Ninguna
TENGO MOVISTAR ONE,Ninguna
y no me da laopcion en los numeros que tu me indicas ,Ninguna
HOLA BUENAS TARDE TENGO UN PROBLEMA CON EL PAGO DE ESTE MES,Ninguna
EL DIA 30 DE JULIO ME LLEGO LA BOLETA POR  19054,Ninguna
FUI A PAGAR MI CUENTE ME SALE MAS DE LO QUE DICE LA BOLETA,Ninguna
Hola solicité el termino de mi contrato y paso a prepago y aun no se hace efectiho,Ninguna
En q mis servicios todavía no lo an arreglado y viene y dicen el cable esta cortado y se van an venido 3 técnicos pero no arreglan,Ninguna
Tengo problemas con mi cuenta,Ninguna
Tengo problemas con mi cuenta,Ninguna
NECESITO DAR DE BAJO MI SERVICIO DE MOVISTAR,Ninguna
Hola quiero contratar un plan,Ninguna
Hola tengo problemas con mi internet hogar el wifi presenta intermitencias,Ninguna
me gustaria saber para cuando tendran factibilidad de fibra optica en la comuna de padre hurtado,Ninguna
Quiero cambiar mi numero celular,Ninguna
No puedo contratar el plan,Ninguna
Es un asco esto no puedo ni contratar el plan por que hay problemas,Ninguna
Puedo repactar mi deuda,Ninguna
Esque tengo un nuevo numero pero ya estpy registrado a movistar con otro numero y otro correo,Ninguna
Estoy sin internet hogar,Ninguna
activar facturcion movistar,Ninguna
Problemas al Pagar Play Store con saldo,Ninguna
usar facturacion movitar,Ninguna
falla de internet movil,Ninguna
INTERNET EN MAL ESTADO,Ninguna
quiero repactar cuenta por pagar,Ninguna
Necesito que vayan a mi local comercial donde tengo contratado Internet ya que ayer paso un camion por la calle y paso a llevar los cables,Ninguna
Hola el router no me funciona y he llamado desde ayer pero no contestan,Ninguna
me comunique por esta via para terminar mi contrato por el alto costo del plan,Ninguna
necesito saber que paso con el cambio solicitado,Ninguna
Si tengo un plan con Roaming puedo contratar un Pasaporte,Ninguna
Hola no puedo acceder a mi sucursal virtual,Ninguna
Como quieren que uno pague la cuenta si lo tuve mas de una semana cortado sin poder usar y costo costo que lo volvieran a dar por un problema de Movistar que no llegaba internet a mi telefono,Ninguna
Mira hace un tiempo atras tuve un numero prepago que necesito recuperar ya que tengo muchas cuentas y otras cosas co figuradas con ese numero,Ninguna
Hola buenas tardes hace poco me hicieron un cambio de equipo debido a una mudanza pero me estoy dando cuenta que el servicio anterior nunca me lo cancelaron y me estan cobrando un mes que yo no use,Ninguna
Quiero dar de baja el plan,Ninguna
No tengo clave ni nada de la sucursal quiero dar de baja mi plan eso es todo,Ninguna
Por que no funciona mi chip movistar,Ninguna
quisiera renovar mi celular,Ninguna
Ayer cancele una deuda pendiente de 8 mil pesos,Ninguna
ACABO DE PAGAR MI PLAN Y AUN NO ME DEVUELVEN EL SERVICIO,Ninguna
nesesito una plologa ynopuedo haserlo de mi telefono,Ninguna
no puedo llamar de mi telefono porque  lo tengo suspentido  y nesesito una prologa,Ninguna
Necesito ver si puedo,Ninguna
Necesito saber si ya puedo contratar un celular con mi plan,Ninguna
no puedo llamar de mi telefono xque lo tengo suspendido por no pagar y nesesito una prologa,Ninguna
tengo un codigo para dar de baja uno productos,Ninguna
Compra de movil,Ninguna
Hola acabo de pagar mi cuenta y no tengo ningun comprobante de pago,Ninguna
porque me dice que el telefono se encuentra bloqueado para este tipo de llamadas,Ninguna
elimar el plan,Ninguna
Quisiera saber cuantos meses debo facturar para solicitar renovacion de equipo por que me robaron mi celular que tenia contratado con Movistar one,Ninguna
Necesito dar de baja un servicio triopack y contratar otro,Ninguna
Mira necesito  que me des una proroga  para evitar pagar la reposicion,Ninguna
perdi mi numero de movistar quiero saber como mantener el numero de telefono,Ninguna
El telefono no recibe ni emite llamadas,Ninguna
Hola estoy interesado en hacer un cambio de plan,Ninguna
Hola ayer adquiri mi chip Movistar lo cual se me olvido ponerlo a las 12 de la noche y se me olvido,Ninguna
kiero ver opciones de pago,Ninguna
mi rut 159826317,Ninguna
buenos dias necesito un codificador mas,Ninguna
Hola buen dia  agradeceria conocer  la facturacion de mi boleta y ademas informar que hemos estado sin servicio desde el dia lunes 05 de agosto Favor pueda resolver dicha situacion,Ninguna
No me llega la cuenta,Ninguna
No me llega la cuenta,Ninguna
Necesito hacer un reclamo por un cobro de cuenta que me estan haciendo,Ninguna
necesito me envien mis facturas pagadas ,Ninguna
 como puedo activar mi equipo movil ,Ninguna
Recargue el celular y me sale aun que mi numero esta suspendido tengo mas de 5800 pesos de saldo,Ninguna
active el roaming internacional antes de salir de Chile y ahora en Argentina no me agarra la antena,Ninguna
active pasaporte roaming y no funciona,Ninguna
necesito desactivar una cuent de internet por cambo de casa,Ninguna
necesito dar de baja el servicio del numero 229695048,Ninguna
Necesito activar el roaming de un celular vinculado a una empresa,Ninguna
DESEO CAMBIAR MI NUMERO A MOVISTAR,Ninguna
el internete esta lento enviaro a 2 tecnico a mi domicilio el primero no arreglo nada el segundo si lo hizo pero al otro  dia volvio a estar lento,Ninguna
cuales sucursales de santiago estan abiertas a las 2000,Ninguna
Contrate plan con portabilidas y no pesca el chip movistar no puedo usar mi plan y me lo emtregaron ayer,Ninguna
Como saber si mi telefono esta bloqueadoM,Ninguna
Necesito comprar bolsas de internet en mi celular,Ninguna
Hola contrate un plan movil ayer retire el chip en la sucursal me llega señal movistar pero no me permite realizar llamadas ,Ninguna
hola como puedo registrar mi equipo si lo compre en  el extrajero,Ninguna
hola Soy Daniela Silva Vilches  rut 150588596 y quiero dar de baja mi telefono de red fija y mantener mi el internet digital llame al 103 y me dijeron que debo mandar una foto de mi carnet,Ninguna
hola buenas necesito cambiar mi servicio hogar de internet de 200 megas subir a 400 megas,Ninguna
mi equipo dice sin servicio hize cambio de compañia pero mantengo el equipo con ustedes,Ninguna
como desbloqueo mi equipo,Ninguna
Quisiera saber si estaran abiertas sus sucursales hoy,Ninguna
Sus sucursales abren hoy ,Ninguna
Hola Quiero saber cuando vence mi pasaporte movistar,Ninguna
Hola tengo problemas de señal ya lo he reiniciado he sacado el chip  pero no funciona  no tengo señal no puedo llamar,Ninguna
Hola desearia saber porque mi numero de celular aparece asociado a otro rut ,Ninguna
hola estoy consultando por una cuenta que el otro dia la tramite para cancelar quiero saber el estado actual,Ninguna
hola quiero salirme de mi plan ,Ninguna
quiero cancelar mi plan ,Ninguna
Hola tengo problemas con mi telefono res fija en internet,Ninguna
Hola necesito ayuda para reactivar mi wifi,Ninguna
Hola quiero cambiar plan  y ademas tener informacion de roaming,Ninguna
Como debo hacerlo para recargar por internet,Ninguna
me robaron hace 1 semana el telefono,Ninguna
como puedo recuperar mi numero,Ninguna
Hola quiero saber que pasa con el despacho de la contratacion que ise,Ninguna
Hola Quiero portarme a Movistar soy prepago,Ninguna
que me dijieron enmovitar que el internet que tengo no me sirve para mi nueva direccion y que paravovle a contratar tengo que dar de baja el actual,Ninguna
Pedi bloqueo de un servicio movil por extravio pero lo encontre pero no puede recibir llamados solo hace llamados fui personalmente a las oficinas a solicitar el desbloqueo lo hicieron,Ninguna
Buenas quiero rejistrar mi celular,Ninguna
Por que subio tanto la cuenta del telefono si el mes pasado pague 43000 mil pesos,Ninguna
Este mes subio mucho la cuenta telefonica y quiero saber debido a que paso eso Que se me esta cobrando quiero el detalle de la deuda,Ninguna
Sabes desde ayer me tienen sin servicio en mi telefono,Ninguna
necesito sacar de servicio mi decodificador,Ninguna
Ayer llego mi chip para portarme a Movistar y aun no esta operativo,Ninguna
Recien page el servicio y el cable en una tele me sale que la lista esta vacia,Ninguna
El ya comprobo que tengo 15 dias de Internet pero no puedo activarlo,Ninguna
Estoy en Bolivia y no puedo activar mi roming y me dicen que llame al 105 esa llamada tendra algun costo para mi,Ninguna
algun telefono para llamar por telefono fijo,Ninguna
Necesito comprar una bolsa de navegacion ya que se me acabo el saldo que contrate y recien me lo cargan el lunes,Ninguna
Mi cuenta fue pagada el dia sabado 10 en el supermercado lider Calama y hoy me cortaron el plan,Ninguna
Mire lo que pasa esk yo hice una portabilidad,Ninguna
Keria saber que pasa con eso porke yo fui a buscar el chip aya el miercoles y me dijeron k ese mismo dia ala noche se me iria la señal de mi chip y tendria k poner el nuevo y aun no pasa nada,Ninguna
No tengo clave sucursal virtual,Ninguna
hice una recargar y no me la tomo,Ninguna
Hola compramos un equipo de Outlet de equipos liberados el dia 12 de Agosto a la fecha no lo hemos recibido y el estado del despacho sigue en mismo estado Compra Exitosa,Ninguna
tengo una consulta pague mi movil y aun se encuentra cortado ,Ninguna
Necesito saber si tengo plan activado,Ninguna
Necesito ayuda con mi telefono hogar por favor,Ninguna
Quiero realizar cambio de equipo por Movistar one,Ninguna
no puedo activar mis datos miviles en mi telefono,Ninguna
hola necesito cambiarla fecha de pagodemi boleta,Ninguna
modificarla fecha de mi boleta,Ninguna
Como registro mi equipo nuevo en movistar,Ninguna
hola el telefono fijo 322212242 esta sin linea hace dos dias,Ninguna
CONTRATE UNA BANDA ANCHA MOVIL Y FUI A RETIRAR EL CHIP A SUCURSAL LA CALERA PERO ESTAN SIN SISTEMA ME LO PUEDE CAMBIAR PARA RETIRAR EN QUILLOTA,Ninguna
